;track_uri;danceability;energy;key;loudness;speechiness;acousticness;instrumentalness;valence;tempo
4090;6HzpmmaLVHC88XQY4e0YZL;0.585;0.534;2;-7.802;0.0298;0.213;0.0;0.358;101.025
4091;78f9pUmqxdrPpUeidwwagK;0.31;0.681;11;-5.52;0.0396;0.0331;0.0;0.233;106.784
4092;4cj9oqXwEDaXOADJw9clMc;0.225;0.937;0;-4.596;0.124;9.51e-05;0.163;0.351;161.195
4093;4S256TW8zljcMaQGwqQS1V;0.536;0.973;1;-3.864;0.066;3.91e-05;1.02e-05;0.601;126.012
4094;49eplIHvgCLY8HAgcaWrUb;0.69;0.937;10;-5.393;0.0642;0.0894;0.000104;0.794;122.951
4095;5TLA7O0ogTqwZHbS3ERabw;0.33;0.529;9;-10.043;0.0358;0.000807;0.214;0.148;140.156
4096;0YtFqZhheQZIrVc0qbqL8D;0.841;0.475;4;-7.512;0.0685;0.0743;0.000506;0.451;174.963
4097;4KVf52wfuDEBlB7MVFThMg;0.552;0.916;9;-3.806;0.0549;0.000691;0.0123;0.588;139.992
4098;0bHYX16vAFaFhtEqKhCeqg;0.269;0.903;7;-5.705;0.175;0.0121;4.14e-05;0.0967;149.757
4099;1dNIEtp7AY3oDAKCGg2XkH;0.607;0.649;11;-6.695;0.0362;0.0306;2.46e-05;0.505;102.996
4100;4BOikd4oZjOYMde9AXfrTo;0.369;0.609;9;-4.477;0.184;0.259;4.1e-05;0.381;80.362
4101;4YwbSZaYeYja8Umyt222Qf;0.62;0.936;7;-4.593;0.0308;0.0261;0.0;0.763;97.527
4102;5dKBaysNJtfpyNTRa5lqDb;0.551;0.821;2;-4.489;0.0539;0.0102;0.0438;0.842;174.923
4103;5hJFhO9dvhJoDvUZZ9iWSw;0.625;0.576;11;-5.693;0.175;0.0543;4.07e-05;0.235;179.063
4104;1ZAygvDxcD15vVVHVNW0BP;0.251;0.932;9;-8.314;0.0731;0.000107;0.71;0.351;128.874
4105;35No5bL3i5Hcc0UpOr6MSc;0.643;0.262;11;-5.686;0.0376;0.807;0.0;0.394;122.904
4106;1p5LMWMfkpWAwTuNdh6tuj;0.724;0.903;7;-6.425;0.064;0.059;1.23e-05;0.968;101.199
4107;4kgsK0fftHtg9gZOzkU5T2;0.645;0.589;6;-6.131;0.0523;0.00396;0.0;0.35;131.899
4108;4aeS8uzdE2lHU6sGpwWTjH;0.582;0.945;11;-5.95;0.089;0.00016;0.0;0.389;123.041
4109;5nCtCCB5i1OfbADvynNw0i;0.787;0.872;1;-1.397;0.0871;0.168;1.51e-06;0.46;95.995
4110;4Y6cDd4EPHcEbiUKdyvNwM;0.923;0.679;8;-14.019;0.0888;0.428;0.000131;0.965;103.017
4111;1RTYixE1DD3g3upEpmCJpa;0.442;0.939;8;-4.18;0.0941;0.000183;0.00589;0.27;140.021
4112;5PEleSkK4p4E1sx3x7cOLt;0.615;0.811;6;-4.316;0.144;0.0188;0.0;0.808;167.995
4113;0939D7aT18uBDS2MTjWzct;0.507;0.828;10;-6.023;0.0449;0.00711;2.44e-05;0.489;178.032
4114;44AyOl4qVkzS48vBsbNXaC;0.396;0.293;2;-14.062;0.0275;0.941;0.000196;0.343;100.307
4115;2rizacJSyD9S1IQUxUxnsK;0.662;0.586;0;-8.821;0.0307;0.097;0.00272;0.296;90.0
4116;0Oa9mHOnH14GZ4toWwkf4c;0.572;0.778;1;-5.208;0.233;0.00638;0.0;0.54;168.073
4117;5vC8UAOHeG95ehRzZChniB;0.953;0.57;6;-5.149;0.245;0.537;0.0;0.834;129.947
4118;2DVR5wEXbauarRJhluXAZs;0.255;0.848;6;-4.553;0.0343;0.0159;0.892;0.554;156.959
4119;6SGM3JqOcMqea0WQSO31Hx;0.778;0.755;8;-9.682;0.0434;0.0213;0.103;0.948;136.383
4120;3aAFyHsFInIc4SWMspqFix;0.154;0.964;7;-7.017;0.15;6.59e-05;0.00532;0.156;201.407
4121;6DY2TWhO7ioSmVzK3kuHk8;0.936;0.592;7;-6.878;0.144;0.014;0.0;0.24;124.996
4122;2KJwci3DPtYbfg7pxczvWf;0.467;0.944;6;-4.202;0.0771;0.000541;0.000916;0.566;155.033
4123;1XvrMOEi2oLFYdrkfIX3xG;0.589;0.733;5;-8.809;0.0399;0.106;0.00328;0.913;182.364
4124;1XBjS9Co5312nsBW0tUMo5;0.296;0.892;11;-5.584;0.0925;0.00129;0.648;0.302;93.834
4125;5MVkWRKMBO3r05oihuNbzM;0.347;0.83;4;-6.218;0.0633;0.0674;0.00463;0.312;78.06
4126;4BxzNZpcm1j3JczZzGNe2k;0.662;0.896;5;-5.311;0.251;0.318;0.0;0.79;90.622
4127;1y1sChqjzdNWzwdHQADMrR;0.496;0.863;9;-4.153;0.0381;0.0046;0.0;0.243;110.018
4128;0TqCVQDz78WtvarPW0GaoR;0.556;0.331;9;-10.666;0.035;0.389;3.14e-05;0.526;104.807
4129;7aZ7WWaajRXSHPP3lbzoYO;0.397;0.966;7;-4.957;0.133;0.000577;0.0113;0.375;167.868
4130;3GBlLqIYgB8zWaeWDNJzdh;0.681;0.708;5;-6.019;0.0304;0.042;0.14;0.356;92.993
4131;5Ds35L9KpUDKgSxZ6whuoQ;0.486;0.938;1;-6.652;0.0704;1.79e-05;0.000103;0.525;125.816
4132;6t44iU80A0h8WQ7vc4OoRj;0.734;0.626;7;-5.685;0.0458;0.076;6.54e-06;0.44;98.559
4133;5Sf3GyLEAzJXxZ5mbCPXTu;0.829;0.51;5;-9.334;0.0369;0.00821;0.0014;0.45;119.993
4134;3eZvSn6uKzP22m4pLLWMNF;0.533;0.287;9;-15.709;0.039;0.976;0.908;0.15;103.016
4135;1j73ecQIfwMuAvhh7qsi54;0.712;0.808;4;-3.763;0.0685;0.195;0.0;0.583;97.493
4136;0WalTDL3XWn68mMCFHv6jU;0.221;0.905;11;-6.26;0.158;0.00422;0.861;0.302;185.048
4137;29bWDkf8qtCmsvDWOW55CJ;0.541;0.889;9;-3.997;0.049;0.00642;1.71e-05;0.902;167.995
4138;32eIzObRt9g8ZJNWB7rmak;0.365;0.982;4;-5.394;0.151;0.0134;0.0;0.12;100.292
4139;03EcqaAMg58r10dgbl0o6y;0.906;0.597;0;-2.566;0.0764;0.165;2.94e-06;0.967;124.008
4140;5pKCDm2fw4k6D6C5Rk646C;0.214;0.931;7;-3.347;0.143;0.000705;3.09e-06;0.233;162.115
4141;1aDCjyFTiY6EG9mbl7HMog;0.53;0.45;7;-10.006;0.168;0.393;0.0;0.412;67.467
4142;5WB70PqZqozarhWv1LCuvL;0.737;0.635;10;-6.781;0.0399;0.466;0.0;0.716;103.457
4143;4kV4N9D1iKVxx1KLvtTpjS;0.726;0.554;5;-5.29;0.0917;0.0421;0.0;0.335;169.999
4144;14Zq2YCOkqlRRVKQGzcyR9;0.633;0.817;10;-5.226;0.0384;0.0153;2.55e-06;0.438;128.01
4145;5cgx5BrFRGtr15RK04IG6J;0.485;0.952;0;-4.792;0.0586;0.000621;0.85;0.0999;154.993
4146;1dnJrxNtaS0fCPRDooTqBM;0.738;0.944;6;-1.436;0.0373;0.112;0.0;0.89;124.99
4147;5lVA93M7UQxclPVxaSCMAh;0.388;0.637;9;-9.937;0.0477;0.000132;8.25e-05;0.14;113.23
4148;54MXF9I8s3DuiQo3g0gZ5k;0.371;0.979;1;-2.701;0.144;0.0002;3.67e-06;0.473;196.058
4149;3Dfy8YIxq89i84t108TvMi;0.59;0.743;0;-7.078;0.0347;0.067;0.00093;0.412;129.79
4150;08mbT8Bz4jYDSM3O2j9Pn5;0.477;0.895;4;-4.832;0.0729;0.0433;0.554;0.684;161.116
4151;2RJfK2pOvGpnxC255YOy5k;0.768;0.826;5;-4.904;0.0335;0.00199;0.000374;0.926;114.997
4152;0puf9yIluy9W0vpMEUoAnN;0.706;0.786;0;-3.417;0.091;0.26;0.0;0.751;150.028
4153;2eK7g9jBuTwACNXpV9BUAE;0.303;0.818;9;-4.62;0.228;0.00378;0.00544;0.43;180.297
4154;7B7lf3sIze5VR2WuYttn18;0.692;0.79;5;-14.065;0.0416;0.074;0.711;0.96;128.13
4155;4VuS959DSpr82t3qBqCrWG;0.589;0.242;6;-10.517;0.0442;0.914;0.0;0.257;89.749
4156;5pmL3RzOy3IvGFaSDi4hZL;0.606;0.883;3;-3.243;0.0423;0.00872;0.0;0.608;128.053
4157;1Z6lKdYhwp8WYoBqGCKxlM;0.574;0.93;1;-2.949;0.0413;0.0657;7.78e-06;0.69;92.303
4158;17znOPxGp4NctWeUxuDty2;0.579;0.218;9;-21.031;0.0501;0.995;0.971;0.721;160.069
4159;2hjGuRIEfEGzQ5MEWLowiU;0.502;0.758;3;-9.76;0.0407;0.00915;0.783;0.729;112.508
4160;3jkHrdAoCSJSfB6HKQVggB;0.665;0.709;2;-11.41;0.0302;0.21;0.0527;0.935;117.656
4161;7y2YUIyCuVhBidENVT0068;0.258;0.631;5;-6.617;0.0541;0.281;0.0;0.266;189.583
4162;0ZqveF2rEFlz2oqF2xrriP;0.74;0.876;6;-6.87;0.0369;0.0173;0.00152;0.825;127.002
4163;4SIBZgMomGFnrIWjmq7Np8;0.93;0.673;6;-6.298;0.409;0.275;0.0;0.95;129.967
4164;4XTTwW06rMgud7yS1nySZf;0.763;0.721;1;-6.767;0.0986;0.0117;7.69e-06;0.657;118.049
4165;1XUxOG4MhpHiKpZbKZdNdK;0.43;0.778;11;-6.505;0.0719;0.00228;0.817;0.54;86.894
4166;4L2K7JKseFCBoHMZEAszW0;0.439;0.153;1;-8.95;0.0479;0.874;0.0;0.104;116.76
4167;1mU8A0bKStnhYuS043o6Je;0.461;0.892;6;-4.807;0.0901;0.00187;1.34e-06;0.35;137.35
4168;12iG1hpzudXhKiN4qmJGDB;0.616;0.426;0;-9.758;0.032;0.957;0.911;0.324;144.125
4169;2wqaekenSQZm7hxQOYt8oE;0.725;0.68;8;-5.465;0.0306;0.162;2.13e-06;0.76;119.939
4170;2MrmBl3qmsA26YPvaiSvmW;0.524;0.973;3;-5.784;0.118;0.000108;0.259;0.367;97.462
4171;77VW8u6inET54YAKN1RSnd;0.58;0.983;5;-3.291;0.0636;0.00043;0.00694;0.416;110.053
4172;2rPE9A1vEgShuZxxzR2tZH;0.724;0.647;1;-5.642;0.0658;0.28;0.0;0.435;106.96
4173;6b8Be6ljOzmkOmFslEb23P;0.818;0.803;1;-4.282;0.0797;0.034;0.0;0.632;106.97
4185;7vFoFDWqTX0mHzLfrF1Cfy;0.782;0.685;4;-6.237;0.0309;0.166;1.18e-05;0.603;118.016
4186;6ZH5TJzIkRxayerEXNSs2H;0.474;0.363;7;-7.489;0.0295;0.0126;7.77e-06;0.11;139.889
4187;6rpUxk1c310t9b22LI2XMD;0.37;0.903;7;-3.969;0.0682;0.196;0.000202;0.51;200.158
4188;1E3elyeDZawq8JlTEIrCvL;0.482;0.921;5;-5.178;0.0806;0.00995;1.25e-05;0.431;161.13
4189;0yac0FPhLRH9i9lOng3f81;0.517;0.839;0;-3.521;0.0287;0.0014;0.000365;0.416;94.015
4190;23xzzmz1qmGO9HrxUGX1iO;0.456;0.765;1;-7.601;0.0341;0.0678;0.00117;0.369;109.118
4191;5gb69PTFDQOor99RXHaCOY;0.333;0.402;4;-6.974;0.0317;0.895;0.0;0.374;94.488
4192;46eu3SBuFCXWsPT39Yg3tJ;0.878;0.821;11;-9.875;0.089;0.126;0.0461;0.947;118.881
4193;5RHG4SQ6iJ1qQJmt3EFJCX;0.502;0.924;4;-6.299;0.0503;0.0127;0.0;0.922;149.186
